processed_text,label,lda_text,tokens,dominant_topic
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
class_EN environment_EN acha_POS tha_EN,positive,class environment acha tha,"['class', 'environment', 'acha', 'tha']",4
kal_EN class_EN bhot_HI achi_HI thi_EN thoda_HI aur_HI practice_EN chahiye_HI,positive,kal class bhot achi thi thoda aur practice chahiye,"['kal', 'class', 'bhot', 'achi', 'thi', 'thoda', 'aur', 'practice', 'chahiye']",3
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
class_EN pace_EN bahut_HI fast_EN tha_EN thoda_HI aur_HI practice_EN chahiye_HI,negative,class pace bahut fast tha thoda aur practice chahiye,"['class', 'pace', 'bahut', 'fast', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",1
class_EN theek_HI thi_EN bas_EN thoda_HI lamba_HI tha_EN honestly_EN,neutral,class theek thi bas thoda lamba tha honestly,"['class', 'theek', 'thi', 'bas', 'thoda', 'lamba', 'tha', 'honestly']",3
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
notes_EN aur_HI explanation_EN dono_HI helpful_EN according_EN me_HI,positive,notes aur explanation dono helpful according me,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'according']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI overall_EN,neutral,lecture normal tha special nahi overall,"['lecture', 'normal', 'tha', 'special', 'nahi', 'overall']",0
session_EN okay_EN tha_EN examples_EN ache_EN,neutral,session okay tha examples ache,"['session', 'okay', 'tha', 'examples', 'ache']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI honestly_EN,negative,teacher ne topic properly explain nahi kiya honestly,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'honestly']",1
class_EN theek_HI thi_EN bas_EN thoda_HI lamba_HI tha_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral,class theek thi bas thoda lamba tha thoda aur practice chahiye,"['class', 'theek', 'thi', 'bas', 'thoda', 'lamba', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",3
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class achi thi par thodi boring bhi,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,topic theek tha aur clarity chahiye thi thoda slow hona chahiye tha,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
class_EN engaging_EN thi_EN aur_HI boring_EN nahi_HI thi_EN thoda_HI aur_HI practice_EN chahiye_HI,positive,class engaging thi aur boring nahi thi thoda aur practice chahiye,"['class', 'engaging', 'thi', 'aur', 'boring', 'nahi', 'thi', 'thoda', 'aur', 'practice', 'chahiye']",1
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
class_EN environment_EN bahut_HI achha_POS tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,class environment bahut achha tha thoda slow hona chahiye tha,"['class', 'environment', 'bahut', 'achha', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN confusing_EN tha_EN examples_EN ache_EN,negative,lecture confusing tha examples ache,"['lecture', 'confusing', 'tha', 'examples', 'ache']",2
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
class_EN accha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class accha thi par thodi boring bhi,"['class', 'accha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
discussion_EN session_EN kaafi_HI useful_EN tha_EN honestly_EN,positive,discussion session kaafi useful tha honestly,"['discussion', 'session', 'kaafi', 'useful', 'tha', 'honestly']",3
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN slides_EN achi_HI thi_EN,neutral,topic theek tha aur clarity chahiye thi slides achi thi,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi', 'slides', 'achi', 'thi']",3
class_EN accha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class accha thi par thodi boring bhi,"['class', 'accha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI thoda_HI aur_HI practice_EN chahiye_HI,positive,teacher ne concept bahut clearly samjhaya thoda aur practice chahiye,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'thoda', 'aur', 'practice', 'chahiye']",1
kal_EN class_EN bhot_HI achi_HI thi_EN overall_EN,positive,kal class bhot achi thi overall,"['kal', 'class', 'bhot', 'achi', 'thi', 'overall']",3
class_EN environment_EN acha_POS tha_EN,positive,class environment acha tha,"['class', 'environment', 'acha', 'tha']",4
class_EN me_HI interest_EN nahi_HI aaya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,class me interest nahi aaya aur thoda detail me hona chahiye tha,"['class', 'nahi', 'aaya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
lecture_EN time_EN waste_EN jaisa_HI laga_HI thoda_HI aur_HI practice_EN chahiye_HI,negative,lecture time waste jaisa laga thoda aur practice chahiye,"['lecture', 'time', 'waste', 'jaisa', 'laga', 'thoda', 'aur', 'practice', 'chahiye']",0
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,sir teaching style bahut accha hai aur thoda detail me hona chahiye tha,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",0
class_EN environment_EN accha_POS tha_EN,positive,class environment accha tha,"['class', 'environment', 'accha', 'tha']",4
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,sir teaching style bahut accha hai thoda slow hona chahiye tha,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",0
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
kal_EN class_EN accha_POS thi_EN,positive,kal class accha thi,"['kal', 'class', 'accha', 'thi']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
class_EN accha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class accha thi par thodi boring bhi,"['class', 'accha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI according_EN me_HI,positive,lecture interesting tha aur samajh bhi aaya according me,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'according']",4
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI overall_EN,positive,teacher ne concept bahut clearly samjhaya overall,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'overall']",0
class_EN engaging_EN thi_EN aur_HI boring_EN nahi_HI thi_EN thoda_HI aur_HI practice_EN chahiye_HI,positive,class engaging thi aur boring nahi thi thoda aur practice chahiye,"['class', 'engaging', 'thi', 'aur', 'boring', 'nahi', 'thi', 'thoda', 'aur', 'practice', 'chahiye']",1
lecture_EN time_EN waste_EN jaisa_HI laga_HI honestly_EN,negative,lecture time waste jaisa laga honestly,"['lecture', 'time', 'waste', 'jaisa', 'laga', 'honestly']",0
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN examples_EN ache_EN,neutral,content theek tha par delivery slow thi examples ache,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'examples', 'ache']",3
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,topic bahut ache se cover kiya gaya thoda slow hona chahiye tha,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
class_EN average_EN thi_EN honestly_EN,neutral,class average thi honestly,"['class', 'average', 'thi', 'honestly']",3
lecture_EN manageable_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,lecture manageable tha thoda slow hona chahiye tha,"['lecture', 'manageable', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
class_EN pace_EN bahut_HI fast_EN tha_EN,negative,class pace bahut fast tha,"['class', 'pace', 'bahut', 'fast', 'tha']",4
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
class_EN theek_HI thi_EN bas_EN thoda_HI lamba_HI tha_EN honestly_EN,neutral,class theek thi bas thoda lamba tha honestly,"['class', 'theek', 'thi', 'bas', 'thoda', 'lamba', 'tha', 'honestly']",3
class_EN average_EN thi_EN according_EN me_HI,neutral,class average thi according me,"['class', 'average', 'thi', 'according']",3
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
notes_EN aur_HI explanation_EN dono_HI helpful_EN overall_EN,positive,notes aur explanation dono helpful overall,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'overall']",1
class_EN environment_EN accha_POS tha_EN,positive,class environment accha tha,"['class', 'environment', 'accha', 'tha']",4
class_EN bhot_HI boring_EN thi_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,class bhot boring thi aur thoda detail me hona chahiye tha,"['class', 'bhot', 'boring', 'thi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",3
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
class_EN me_HI interest_EN nahi_HI aaya_HI examples_EN ache_EN,negative,class me interest nahi aaya examples ache,"['class', 'nahi', 'aaya', 'examples', 'ache']",2
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN examples_EN ache_EN,neutral,topic theek tha aur clarity chahiye thi examples ache,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi', 'examples', 'ache']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
teacher_EN ne_HI concept_EN bhot_HI clearly_EN samjhaya_HI,positive,teacher ne concept bhot clearly samjhaya,"['teacher', 'concept', 'bhot', 'clearly', 'samjhaya']",0
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN overall_EN,positive,sir teaching style bahut accha hai overall,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'overall']",0
kal_EN class_EN bhot_HI achi_HI thi_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,kal class bhot achi thi thoda slow hona chahiye tha,"['kal', 'class', 'bhot', 'achi', 'thi', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
teacher_EN ne_HI concept_EN bahuut_HI clearly_EN samjhaya_HI,positive,teacher ne concept bahuut clearly samjhaya,"['teacher', 'concept', 'bahuut', 'clearly', 'samjhaya']",0
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral,content theek tha par delivery slow thi thoda aur practice chahiye,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'thoda', 'aur', 'practice', 'chahiye']",3
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,content theek tha par delivery slow thi aur thoda detail me hona chahiye tha,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",3
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
teacher_EN ne_HI concept_EN bhot_HI clearly_EN samjhaya_HI,positive,teacher ne concept bhot clearly samjhaya,"['teacher', 'concept', 'bhot', 'clearly', 'samjhaya']",0
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
class_EN pace_EN bahut_HI fast_EN tha_EN honestly_EN,negative,class pace bahut fast tha honestly,"['class', 'pace', 'bahut', 'fast', 'tha', 'honestly']",4
aaj_HI lecture_EN bahut_HI informative_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,aaj lecture bahut informative tha thoda slow hona chahiye tha,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI overall_EN,positive,lecture interesting tha aur samajh bhi aaya overall,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'overall']",4
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI examples_EN ache_EN,positive,lecture interesting tha aur samajh bhi aaya examples ache,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'examples', 'ache']",4
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN manageable_EN tha_EN examples_EN ache_EN,neutral,lecture manageable tha examples ache,"['lecture', 'manageable', 'tha', 'examples', 'ache']",2
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI slides_EN achi_HI thi_EN,negative,teacher ne topic properly explain nahi kiya slides achi thi,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'slides', 'achi', 'thi']",1
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN examples_EN ache_EN,neutral,content theek tha par delivery slow thi examples ache,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'examples', 'ache']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
kal_EN class_EN bhot_HI achi_HI thi_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,kal class bhot achi thi thoda slow hona chahiye tha,"['kal', 'class', 'bhot', 'achi', 'thi', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN slides_EN achi_HI thi_EN,neutral,content theek tha par delivery slow thi slides achi thi,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'slides', 'achi', 'thi']",3
class_EN acha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class acha thi par thodi boring bhi,"['class', 'acha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
class_EN me_HI interest_EN nahi_HI aaya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,class me interest nahi aaya aur thoda detail me hona chahiye tha,"['class', 'nahi', 'aaya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
aaj_HI lecture_EN bahut_HI informative_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,aaj lecture bahut informative tha aur thoda detail me hona chahiye tha,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
kal_EN class_EN achha_POS thi_EN,positive,kal class achha thi,"['kal', 'class', 'achha', 'thi']",3
lecture_EN manageable_EN tha_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral,lecture manageable tha thoda aur practice chahiye,"['lecture', 'manageable', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",1
class_EN bhot_HI boring_EN thi_EN,negative,class bhot boring thi,"['class', 'bhot', 'boring', 'thi']",3
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN according_EN me_HI,positive,sir teaching style bahut accha hai according me,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'according']",0
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
class_EN accha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class accha thi par thodi boring bhi,"['class', 'accha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
lecture_EN confusing_EN tha_EN honestly_EN,negative,lecture confusing tha honestly,"['lecture', 'confusing', 'tha', 'honestly']",2
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI examples_EN ache_EN,neutral,class achi thi par thodi boring bhi examples ache,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'examples', 'ache']",3
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI overall_EN,positive,topic bahut ache se cover kiya gaya overall,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'overall']",1
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
topic_EN bahut_HI poorly_EN explain_EN hua_EN honestly_EN,negative,topic bahut poorly explain hua honestly,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'honestly']",4
class_EN average_EN thi_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,class average thi aur thoda detail me hona chahiye tha,"['class', 'average', 'thi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
class_EN achha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class achha thi par thodi boring bhi,"['class', 'achha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
lecture_EN normal_EN tha_EN special_EN nahi_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,lecture normal tha special nahi aur thoda detail me hona chahiye tha,"['lecture', 'normal', 'tha', 'special', 'nahi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral,topic theek tha aur clarity chahiye thi thoda aur practice chahiye,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi', 'thoda', 'aur', 'practice', 'chahiye']",1
lecture_EN confusing_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,lecture confusing tha aur thoda detail me hona chahiye tha,"['lecture', 'confusing', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
session_EN okay_EN tha_EN overall_EN,neutral,session okay tha overall,"['session', 'okay', 'tha', 'overall']",3
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
discussion_EN session_EN kaafi_HI useful_EN tha_EN,positive,discussion session kaafi useful tha,"['discussion', 'session', 'kaafi', 'useful', 'tha']",3
class_EN bhot_HI boring_EN thi_EN,negative,class bhot boring thi,"['class', 'bhot', 'boring', 'thi']",3
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,lecture theek tha aur examples ho sakte thoda slow hona chahiye tha,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,content theek tha par delivery slow thi thoda slow hona chahiye tha,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",3
topic_EN bahut_HI poorly_EN explain_EN hua_EN,negative,topic bahut poorly explain hua,"['topic', 'bahut', 'poorly', 'explain', 'hua']",4
lecture_EN normal_EN tha_EN special_EN nahi_HI honestly_EN,neutral,lecture normal tha special nahi honestly,"['lecture', 'normal', 'tha', 'special', 'nahi', 'honestly']",0
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
class_EN environment_EN bahut_HI achha_POS tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,class environment bahut achha tha aur thoda detail me hona chahiye tha,"['class', 'environment', 'bahut', 'achha', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
session_EN okay_EN tha_EN,neutral,session okay tha,"['session', 'okay', 'tha']",3
class_EN pace_EN bahut_HI fast_EN tha_EN,negative,class pace bahut fast tha,"['class', 'pace', 'bahut', 'fast', 'tha']",4
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
kal_EN class_EN achaah_HI thi_EN,positive,kal class achaah thi,"['kal', 'class', 'achaah', 'thi']",3
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral,topic theek tha aur clarity chahiye thi thoda aur practice chahiye,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi', 'thoda', 'aur', 'practice', 'chahiye']",1
class_EN environment_EN achha_POS tha_EN,positive,class environment achha tha,"['class', 'environment', 'achha', 'tha']",4
class_EN achaah_HI thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class achaah thi par thodi boring bhi,"['class', 'achaah', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI slides_EN achi_HI thi_EN,negative,lecture bilkul samajh nahi aaya slides achi thi,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya', 'slides', 'achi', 'thi']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
